strat,desc,mean_pnl_usd,min_pnl_usd,total_pnl_usd,total_taken,stability,fold_pnl_usd,fold_wr,cfg_json
TIME_DECAY_V2,be3m tp80->19->late sl35 t20m,70.12,-38.96,280.49,128,0.75,"[84.39, -38.96, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->19->late sl35 t30m,70.3,-38.24,281.21,128,0.75,"[84.39, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->19->late sl35 t45m,70.3,-38.24,281.2,128,0.75,"[84.38, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp80->19->late sl30 t20m,70.12,-38.96,280.49,128,0.75,"[84.39, -38.96, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->19->late sl30 t30m,70.3,-38.24,281.21,128,0.75,"[84.39, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->19->late sl30 t45m,70.3,-38.24,281.2,128,0.75,"[84.38, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp80->19->late sl25 t20m,70.12,-38.96,280.49,128,0.75,"[84.39, -38.96, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->19->late sl25 t30m,70.3,-38.24,281.21,128,0.75,"[84.39, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->19->late sl25 t45m,70.3,-38.24,281.2,128,0.75,"[84.38, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp80->39->late sl35 t20m,85.28,-76.68,341.13,128,0.75,"[126.17, -76.68, 121.2, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->39->late sl35 t30m,86.18,-75.96,344.73,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->39->late sl35 t45m,86.18,-75.96,344.72,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp80->39->late sl30 t20m,85.28,-76.68,341.13,128,0.75,"[126.17, -76.68, 121.2, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->39->late sl30 t30m,86.18,-75.96,344.73,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->39->late sl30 t45m,86.18,-75.96,344.72,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.7, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp80->39->late sl25 t20m,85.28,-76.68,341.13,128,0.75,"[126.17, -76.68, 121.2, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp80->39->late sl25 t30m,86.18,-75.96,344.73,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 30}"
TIME_DECAY_V2,be3m tp80->39->late sl25 t45m,86.18,-75.96,344.72,128,0.75,"[126.17, -75.96, 124.08, 170.43]","[0.531, 0.0, 0.562, 0.562]","{""be_minute"": 3, ""tp_start"": 1.8, ""tp_mid"": 1.4, ""tp_late"": 1.0, ""sl_start"": 0.75, ""timeout_min"": 45}"
TIME_DECAY_V2,be3m tp100->19->late sl35 t20m,70.12,-38.96,280.5,128,0.75,"[84.39, -38.96, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 2.0, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 20}"
TIME_DECAY_V2,be3m tp100->19->late sl35 t30m,70.3,-38.24,281.22,128,0.75,"[84.39, -38.24, 105.41, 129.66]","[0.531, 0.125, 0.656, 0.562]","{""be_minute"": 3, ""tp_start"": 2.0, ""tp_mid"": 1.2, ""tp_late"": 1.0, ""sl_start"": 0.65, ""timeout_min"": 30}"
